,employeeno,trainings_attended,last_performance_score,targets_met,previous_award,training_score_average,no_of_previous_employers,promoted_or_not,age,working_for,is_female,schooled_abroad,is_married,was_disciplined,was_moved,division_Business Finance Operations,division_Commercial Sales and Marketing,division_Customer Support and Field Operations,division_Information Technology and Solution Support,division_Information and Strategy,division_People/HR Management,division_Regulatory and Legal services,division_Research and Innovation,division_Sourcing and Purchasing,channel_of_recruitment_Agency and others,channel_of_recruitment_Direct Internal process,channel_of_recruitment_Referral and Special candidates,qualification_First Degree or HND,"qualification_MSc, MBA and PhD",qualification_Non-University Education
41,YAK/S/00065,2,12.5,0,0,79,1,0,32,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
42,YAK/S/00066,2,7.5,1,0,50,0,0,29,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
43,YAK/S/00068,2,0.0,0,0,53,0,1,25,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
44,YAK/S/00070,2,7.5,1,0,76,0,1,28,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
45,YAK/S/00071,2,12.5,1,0,51,1,0,48,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
46,YAK/S/00073,2,2.5,0,0,44,0,0,39,12,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
47,YAK/S/00074,2,10.0,0,0,36,1,0,30,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
48,YAK/S/00075,2,7.5,0,0,44,1,0,48,14,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
49,YAK/S/00076,2,10.0,1,0,41,1,1,36,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
50,YAK/S/00077,3,2.5,0,0,43,0,0,27,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
51,YAK/S/00078,2,10.0,1,0,45,4,0,33,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
52,YAK/S/00079,2,7.5,1,0,83,0,0,23,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
53,YAK/S/00081,2,7.5,0,0,71,0,0,45,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
54,YAK/S/00082,2,5.0,0,0,45,0,0,33,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
55,YAK/S/00085,2,0.0,0,0,57,1,1,27,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
56,YAK/S/00086,2,12.5,1,0,52,1,1,40,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
57,YAK/S/00087,2,5.0,0,0,44,0,0,26,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
58,YAK/S/00089,2,12.5,1,0,61,0,1,30,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
59,YAK/S/00090,2,0.0,0,0,43,3,0,29,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
60,YAK/S/00091,2,0.0,0,0,47,2,0,18,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
61,YAK/S/00093,3,10.0,1,0,66,1,0,44,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
62,YAK/S/00094,2,7.5,0,0,36,1,0,45,7,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
63,YAK/S/00095,2,10.0,0,0,45,0,0,42,13,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
64,YAK/S/00097,2,0.0,0,0,69,1,0,21,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
65,YAK/S/00098,2,7.5,0,0,49,0,0,31,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
66,YAK/S/00100,2,12.5,0,0,51,1,0,62,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
67,YAK/S/00102,2,7.5,0,0,49,2,0,35,11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
68,YAK/S/00103,3,7.5,1,0,75,1,0,37,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
69,YAK/S/00105,2,12.5,0,0,42,0,0,40,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
70,YAK/S/00106,2,10.0,1,0,49,0,1,33,6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
71,YAK/S/00107,2,10.0,1,0,54,0,0,39,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
72,YAK/S/00108,2,7.5,0,0,65,1,0,21,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
73,YAK/S/00109,3,7.5,0,0,42,0,0,29,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
74,YAK/S/00110,2,5.0,0,0,71,4,0,40,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
75,YAK/S/00112,2,0.0,1,0,46,2,0,28,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
76,YAK/S/00113,2,10.0,1,0,55,0,0,39,6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
77,YAK/S/00115,2,12.5,0,0,41,0,0,32,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
78,YAK/S/00116,2,10.0,0,0,38,1,0,29,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
79,YAK/S/00117,2,12.5,0,0,78,4,1,25,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
80,YAK/S/00118,5,7.5,0,0,64,0,0,28,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
81,YAK/S/00120,5,10.0,0,0,74,2,0,34,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
82,YAK/S/00121,2,10.0,0,0,69,0,0,33,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
83,YAK/S/00122,2,12.5,1,0,43,1,1,32,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
84,YAK/S/00123,2,12.5,0,1,84,0,1,35,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
85,YAK/S/00124,2,0.0,1,0,50,1,0,25,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
86,YAK/S/00125,3,7.5,1,0,63,1,0,45,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
87,YAK/S/00126,2,0.0,1,0,75,1,0,26,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
88,YAK/S/00127,2,12.5,0,0,60,1,0,38,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
89,YAK/S/00128,2,0.0,0,0,42,1,0,28,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
90,YAK/S/00129,2,12.5,1,0,53,1,0,36,9,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
91,YAK/S/00130,2,7.5,0,0,39,1,0,28,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
92,YAK/S/00131,2,12.5,0,0,38,0,0,26,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
93,YAK/S/00133,2,10.0,0,0,50,4,0,33,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
94,YAK/S/00134,2,7.5,0,0,81,1,1,30,8,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
95,YAK/S/00135,2,12.5,0,0,42,0,0,34,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
96,YAK/S/00136,2,0.0,1,0,48,4,0,22,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
97,YAK/S/00138,3,7.5,0,0,48,2,0,32,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
98,YAK/S/00139,2,10.0,1,1,70,1,0,29,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
99,YAK/S/00140,2,10.0,0,0,69,0,0,28,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
100,YAK/S/00141,3,7.5,1,1,68,1,0,28,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
101,YAK/S/00142,2,0.0,1,0,48,0,0,29,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
102,YAK/S/00143,2,12.5,1,0,76,1,0,28,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
103,YAK/S/00144,2,7.5,0,0,49,1,0,26,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
104,YAK/S/00145,3,7.5,0,0,73,1,0,26,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
105,YAK/S/00147,2,7.5,1,0,43,1,0,44,11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
106,YAK/S/00148,2,12.5,1,0,72,0,0,29,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
107,YAK/S/00150,2,10.0,0,0,42,0,0,29,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
108,YAK/S/00153,2,12.5,1,0,62,0,1,23,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
109,YAK/S/00154,2,10.0,1,0,49,0,0,38,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
110,YAK/S/00155,2,7.5,1,0,48,6,1,41,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
111,YAK/S/00156,2,2.5,0,0,48,1,0,34,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
112,YAK/S/00158,3,7.5,0,0,48,0,0,33,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
113,YAK/S/00159,2,12.5,0,0,76,4,0,32,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
114,YAK/S/00160,2,10.0,1,0,37,0,0,30,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
115,YAK/S/00161,2,0.0,1,0,42,1,0,25,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
116,YAK/S/00162,2,7.5,0,0,67,1,0,27,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
117,YAK/S/00165,2,7.5,1,0,65,3,0,31,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
118,YAK/S/00166,2,12.5,1,0,59,1,0,31,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
119,YAK/S/00167,2,2.5,0,0,37,0,0,37,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
120,YAK/S/00168,2,10.0,0,0,74,0,0,32,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
121,YAK/S/00169,3,10.0,0,0,76,3,0,30,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
122,YAK/S/00170,2,10.0,0,0,45,0,0,32,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
123,YAK/S/00172,3,2.5,0,0,42,0,0,26,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
124,YAK/S/00173,2,5.0,0,0,67,2,0,26,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
125,YAK/S/00175,3,7.5,0,0,78,1,0,38,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
126,YAK/S/00176,3,5.0,0,0,46,0,0,25,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
127,YAK/S/00177,4,7.5,1,0,62,0,0,24,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
128,YAK/S/00180,2,12.5,1,0,76,0,0,27,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
129,YAK/S/00181,2,7.5,0,0,43,1,0,41,15,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
130,YAK/S/00182,4,10.0,0,0,41,1,0,25,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
131,YAK/S/00183,2,10.0,1,0,62,1,0,24,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
132,YAK/S/00184,2,12.5,1,0,64,0,0,29,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
133,YAK/S/00185,2,10.0,0,0,50,0,0,38,11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
134,YAK/S/00186,3,12.5,1,0,47,0,0,37,12,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
135,YAK/S/00188,2,10.0,1,0,69,1,0,45,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
136,YAK/S/00189,2,10.0,1,0,40,1,1,32,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
137,YAK/S/00190,2,10.0,0,0,56,5,0,31,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
138,YAK/S/00192,2,2.5,0,0,72,2,0,27,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
139,YAK/S/00193,2,7.5,0,0,78,1,0,30,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
140,YAK/S/00194,2,12.5,0,0,60,1,0,45,9,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
141,YAK/S/00196,2,10.0,0,0,67,1,0,25,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
142,YAK/S/00198,3,7.5,0,0,41,0,0,34,9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
143,YAK/S/00199,3,2.5,0,0,31,0,0,33,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
144,YAK/S/00200,3,7.5,0,0,62,0,0,32,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
145,YAK/S/00201,2,10.0,1,1,86,1,1,32,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
146,YAK/S/00202,2,7.5,1,0,52,1,0,37,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
147,YAK/S/00203,2,12.5,1,0,43,0,0,24,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
148,YAK/S/00206,2,12.5,0,0,40,1,0,42,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
149,YAK/S/00207,2,7.5,1,0,41,1,0,36,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
150,YAK/S/00209,2,12.5,0,1,50,0,0,48,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
151,YAK/S/00210,2,7.5,0,0,62,1,0,42,12,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
152,YAK/S/00211,2,2.5,0,0,61,3,0,21,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
153,YAK/S/00212,2,2.5,0,0,45,1,0,34,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
154,YAK/S/00214,2,12.5,1,0,50,1,0,32,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
155,YAK/S/00215,2,0.0,0,0,77,1,0,26,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
156,YAK/S/00217,2,2.5,0,0,59,0,0,33,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
157,YAK/S/00220,3,12.5,1,0,77,1,0,25,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
158,YAK/S/00221,5,0.0,0,0,60,0,0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
159,YAK/S/00222,2,7.5,0,0,50,1,0,41,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
160,YAK/S/00223,3,7.5,1,0,78,0,0,26,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
161,YAK/S/00224,2,12.5,1,0,60,0,0,29,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
162,YAK/S/00225,2,10.0,0,0,50,1,0,41,12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
163,YAK/S/00226,2,12.5,1,0,52,0,0,33,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
164,YAK/S/00227,3,7.5,0,0,41,2,0,33,9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
165,YAK/S/00229,2,10.0,0,0,42,3,0,24,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
166,YAK/S/00230,2,7.5,1,0,44,4,0,30,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
167,YAK/S/00231,2,12.5,1,1,85,0,1,36,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
168,YAK/S/00232,2,10.0,0,0,43,0,0,20,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
169,YAK/S/00233,2,0.0,1,0,44,2,0,26,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
170,YAK/S/00234,2,7.5,0,0,61,1,0,35,9,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
171,YAK/S/00236,2,7.5,0,0,43,1,0,34,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
172,YAK/S/00237,2,7.5,0,0,70,0,0,33,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
173,YAK/S/00238,2,7.5,1,0,77,1,0,37,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
174,YAK/S/00239,2,12.5,1,0,55,3,0,29,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
175,YAK/S/00241,2,2.5,0,0,40,0,0,26,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
176,YAK/S/00243,2,0.0,0,0,46,1,0,27,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
177,YAK/S/00244,2,7.5,0,0,76,1,0,28,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
178,YAK/S/00245,3,5.0,1,0,49,1,1,35,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
179,YAK/S/00248,2,10.0,0,0,70,3,0,29,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
180,YAK/S/00249,2,12.5,1,0,74,4,0,36,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
181,YAK/S/00250,2,10.0,0,0,41,0,0,37,9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
182,YAK/S/00251,2,12.5,0,1,42,1,0,28,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
183,YAK/S/00255,2,10.0,1,0,53,0,0,26,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
184,YAK/S/00256,2,0.0,0,0,48,1,0,22,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
185,YAK/S/00257,3,10.0,1,0,79,0,0,24,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
186,YAK/S/00258,2,12.5,0,0,56,0,0,32,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
187,YAK/S/00259,2,7.5,0,0,38,1,0,33,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
